condition,run_id,pet_seconds,overlap,real_interval_entry,real_interval_exit,virt_interval_entry,virt_interval_exit,radius_m
virtual_pedestrian_scenario_with_intelligence,vpi1,4.861392169580732,False,16.431999948886663,18.004478029828878,22.86587019940961,25.0,5.0
virtual_pedestrian_scenario_with_intelligence,vpi10,1.4151504781642892,False,15.392695244334222,17.880050184630065,19.295200662794354,21.419586220914837,5.0
virtual_pedestrian_scenario_with_intelligence,vpi2,1.742761123051384,False,14.887128329250922,17.336816440449596,19.07957756350098,21.669390772117016,5.0
virtual_pedestrian_scenario_with_intelligence,vpi3,1.537903187642641,False,14.844564928165306,17.1854456434634,18.72334883110604,21.053627023442317,5.0
virtual_pedestrian_scenario_with_intelligence,vpi4,1.0821303417692292,False,11.96689839447454,13.833161879094503,14.915292220863732,17.05969652018554,5.0
virtual_pedestrian_scenario_with_intelligence,vpi5,0.9724594881782807,False,12.433600555237977,14.278677419098148,15.251136907276429,17.42341808185323,5.0
virtual_pedestrian_scenario_with_intelligence,vpi6,1.1418166443020255,False,17.030807523328974,18.732668530869194,19.87448517517122,22.08637427083179,5.0
virtual_pedestrian_scenario_with_intelligence,vpi7,1.8460023036493887,False,11.78350279990279,14.388158577108353,16.23416088075774,18.266008827994725,5.0
virtual_pedestrian_scenario_with_intelligence,vpi8,1.2275952184765444,False,14.456705170357692,16.868303137903112,18.095898356379656,20.233325622187326,5.0
virtual_pedestrian_scenario_with_intelligence,vpi9,,False,,,,,5.0
virtual_pedestrian_scenario_without_intelligence,vpn1,,False,,,,,5.0
virtual_pedestrian_scenario_without_intelligence,vpn10_맞은편에서 차왔었음,3.113787849301019,False,16.382492754503296,18.546202802850015,21.659990652151034,23.956491260551527,5.0
virtual_pedestrian_scenario_without_intelligence,vpn2,2.546087544178075,False,14.926864629529456,16.710619356345724,19.2567069005238,21.537815685233003,5.0
virtual_pedestrian_scenario_without_intelligence,vpn3,3.4364555131756838,False,16.092855701976283,18.374043666358546,21.81049917953423,24.206253829216706,5.0
virtual_pedestrian_scenario_without_intelligence,vpn4정지x,2.237879371121096,False,12.808496725002318,15.005193439241928,17.243072810363024,19.625187815870763,5.0
virtual_pedestrian_scenario_without_intelligence,vpn5감속,1.885943261112189,False,12.011512917415255,14.187974083631158,16.073917344743347,18.355028262348984,5.0
virtual_pedestrian_scenario_without_intelligence,vpn6,2.504865079537801,False,13.475671374326181,16.98613124432375,19.490996323861552,22.086037594383782,5.0
virtual_pedestrian_scenario_without_intelligence,vpn7,4.582371462268462,False,18.15405937545372,20.30069075390658,24.88306221617504,25.0,5.0
virtual_pedestrian_scenario_without_intelligence,vpn8,2.077383007022563,False,12.341663638536717,14.752183100319636,16.8295661073422,19.090241119852863,5.0
virtual_pedestrian_scenario_without_intelligence,vpn9,4.0728119492613715,False,17.466075689380208,18.99099357384785,23.06380552310922,25.0,5.0
